Label,From Node,To Node,Length (Scaled) (m),Diameter (mm),Material,Hazen-Williams C,Flow (L/s),Velocity (m/s),Headloss Gradient (m/m)
574816.3,3743095.08,J-12,282.67,1.51,311.39,29
576369.88,3743319.42,J-09,276.55,1.51,298.93,22
576484.57,3742728.58,J-36,274.31,1.51,304.99,31
575798.21,3741642.73,J-78,273.8,1.51,315.91,42
576185.4,3741726.3,J-42,274.39,1.51,309.51,35
575009.88,3741873.2,J-19,279.32,1.51,313.66,34
574814.1,3741510.9,J-24,282.94,1.51,316.29,33
573863.69,3741373.17,J-89,278.98,1.51,321.95,43
574905.32,3741600.41,J-25,282.25,1.51,315.26,33
574646.16,3743388.1,J-01,283.78,1.51,307.52,24
575829.36,3742535.07,J-41,278,1.51,311.42,33
574697.99,3743236.48,J-06,283.78,1.51,310.35,27
573666.73,3742332.38,J-77,278.22,1.51,320.75,42
574053.93,3741328.75,J-82,279.9,1.51,321.09,41
573501.61,3741879.28,J-109,278,0,324.93,47
