Label,From Node,To Node,Length (Scaled) (m),Diameter (mm),Material,Hazen-Williams C,Flow (L/s),Velocity (m/s),Headloss Gradient (m/m)
P-22,J-22,J-10,94,32.0,Steel,130.0,0.35,0.43,0.016
P-70,J-17,J-14,76,76.2,Steel,130.0,1.94,0.43,0.006
P-104,J-39,J-32,282,124.5,Steel,130.0,5.4,0.44,0.003
P-105,J-47,J-39,91,124.5,Steel,130.0,6.6,0.54,0.005
P-106,J-65,J-47,97,124.5,Steel,130.0,7.81,0.64,0.007
P-107,J-79,J-65,100,124.5,Steel,130.0,9.03,0.74,0.009
P-121,J-83,J-79,95,149.9,Steel,130.0,10.27,0.58,0.005
P-122,J-86,J-83,93,149.9,Steel,130.0,11.52,0.65,0.006
P-123,J-88,J-86,94,149.9,Steel,130.0,12.78,0.72,0.007
P-145,J-103,J-98,96,398.8,Steel,130.0,93.12,0.75,0.002
P-146,J-98,J-97,82,350.5,Steel,130.0,78.93,0.82,0.003
P-23,J-97,J-86,380,32.0,Steel,130.0,0.26,0.32,0.009
P-159,J-97,J-95,104,350.5,Steel,130.0,78.79,0.82,0.003
P-147,J-95,J-94,4,350.5,Steel,130.0,78.65,0.82,0.003
P-24,J-92,J-74,471,32.0,Steel,130.0,0.15,0.19,0.003
P-148,J-94,J-92,85,350.5,Steel,130.0,78.39,0.81,0.003
P-25,J-87,J-74,565,32.0,Steel,130.0,0.12,0.15,0.002
P-149,J-92,J-87,97,350.5,Steel,130.0,77.96,0.81,0.003
P-150,J-87,J-81,94,350.5,Steel,130.0,77.55,0.8,0.003
P-151,J-81,J-75,91,350.5,Steel,130.0,77.07,0.8,0.003
P-152,J-75,J-70,96,350.5,Steel,130.0,76.56,0.79,0.003
P-153,J-70,J-58,96,350.5,Steel,130.0,76.09,0.79,0.003
P-71,J-61,J-16,1123,50.8,Steel,130.0,0.79,0.39,0.008
P-138,J-58,J-61,94,299.7,Steel,130.0,62.31,0.88,0.004
P-139,J-61,J-63,94,299.7,Steel,130.0,61.29,0.87,0.004
P-140,J-63,J-62,0,299.7,Steel,130.0,59.08,0.84,0.004
P-134,J-62,J-67,86,299.7,Steel,130.0,56.78,0.8,0.004
P-26,J-67,J-07,842,32.0,Steel,130.0,0.32,0.4,0.014
P-135,J-67,J-72,103,299.7,Steel,130.0,53.67,0.76,0.003
P-154,J-72,J-76,97,299.7,Steel,130.0,52.2,0.74,0.003
P-155,J-76,J-84,89,299.7,Steel,130.0,51.58,0.73,0.003
P-156,J-91,J-111,298,350.5,Steel,130.0,44.88,0.47,0.001
P-136,J-84,J-90,91,350.5,Steel,130.0,50.99,0.53,0.001
P-137,J-90,J-91,8,248.9,Steel,130.0,46.94,0.96,0.006
P-45,J-08,J-05,80,50.0,Steel,130.0,1.25,0.64,0.019
P-54,J-90,J-08,751,75.0,Steel,130.0,2.76,0.63,0.012
P-141,R-1,PMP-1,19,350.5,Steel,130.0,115.08,1.19,0.004
P-142,PMP-1,J-109,23,350.5,Steel,130.0,115.08,1.19,0.004
P-160,J-109,J-108,70,350.5,Steel,130.0,115.08,1.19,0.006
P-108,J-110,J-102,97,76.2,Steel,130.0,1.83,0.4,0.005
P-109,J-102,J-96,180,50.8,Steel,130.0,0.32,0.16,0.001
P-27,J-14,J-13,430,32.0,Steel,130.0,0.05,0.06,0.0
P-72,J-33,J-13,369,66.0,Steel,130.0,1.47,0.43,0.007
P-93,J-32,J-33,97,76.2,Steel,130.0,2.98,0.65,0.012
P-94,J-32,J-26,362,76.2,Steel,130.0,2.42,0.53,0.008
P-46,J-26,J-10,85,50.0,Steel,130.0,0.91,0.46,0.011
P-84,J-12,J-07,286,76.2,Steel,130.0,2.64,0.58,0.01
P-95,J-15,J-12,89,99.1,Steel,130.0,4.16,0.54,0.006
P-73,J-09,J-04,561,66.0,Steel,130.0,1.51,0.44,0.007
P-85,J-37,J-09,563,76.2,Steel,130.0,3.03,0.66,0.013
P-74,J-36,J-28,258,66.0,Steel,130.0,1.51,0.44,0.007
P-38,J-45,J-36,139,33.0,Steel,130.0,0.3,0.35,0.01
P-86,J-38,J-36,112,76.2,Steel,130.0,2.92,0.64,0.012
P-47,J-36,J-35,223,33.0,Steel,130.0,0.19,0.22,0.004
P-75,J-111,J-78,557,76.2,Steel,130.0,1.87,0.41,0.005
P-76,J-60,J-42,570,66.0,Steel,130.0,1.16,0.34,0.004
P-28,J-78,J-42,396,32.0,Steel,130.0,0.35,0.44,0.016
P-48,J-20,J-19,184,33.0,Steel,130.0,0.22,0.26,0.006
P-77,J-63,J-30,376,76.2,Steel,130.0,2.21,0.48,0.007
P-110,J-21,J-24,197,76.2,Steel,130.0,1.96,0.43,0.006
P-87,J-24,J-23,80,50.8,Steel,130.0,0.44,0.22,0.003
P-124,J-93,J-89,130,149.9,Steel,130.0,11.55,0.65,0.006
P-111,J-23,J-25,97,76.2,Steel,130.0,2.42,0.53,0.008
P-78,J-25,J-20,181,66.0,Steel,130.0,0.9,0.26,0.003
P-39,J-14,J-01,311,33.0,Steel,130.0,0.38,0.44,0.016
P-79,J-99,J-41,420,76.2,Steel,130.0,1.74,0.38,0.005
P-29,J-41,J-37,773,32.0,Steel,130.0,0.22,0.28,0.007
P-49,J-06,J-01,176,50.0,Steel,130.0,1.13,0.58,0.016
P-80,J-17,J-06,262,76.2,Steel,130.0,2.65,0.58,0.01
P-30,J-77,J-88,108,32.0,Steel,130.0,0.1,0.13,0.002
P-52,J-103,J-77,362,65.0,Steel,130.0,1.62,0.49,0.009
P-125,J-89,J-82,196,149.9,Steel,130.0,10.03,0.57,0.004
P-112,J-82,J-69,136,124.5,Steel,130.0,8.52,0.7,0.008
P-17,J-90,J-19,271,50.0,Steel,130.0,1.29,0.66,0.02
